,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18
0,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,923861765,352,20,4,300,294,121907,0,15098,204587,10,20,31,174,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.8000986550838998,0.7825867120000606,0.8035859504222961,0.8048057644110276,0.8181444779758544,0.8300307038658066,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
1,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,583388595,352,20,4,300,155,64500,0,7940,229788,10,21,33,210,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.7476334314263325,0.7825128840254902,0.7971171154782707,0.8007747250625187,0.8007747250625187,0.8007747250625187,0.8012814225629764,0.8118596584806754,0.8427751797866015,0.8448406376425378,0.8336535505846288,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
2,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2581357868,352,20,4,300,253,96924,0,13008,207139,10,22,29,200,20,0.8323406376425379,0.8260869565217391,0.7256242999774092,0.7841292473850054,0.8285564781003069,0.84195985905373,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
3,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,3268249845,352,20,4,300,191,77713,0,9792,222331,10,22,31,129,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.7456087941646862,0.810675178057758,0.8285302551921907,0.838623320893205,0.8380078898263585,0.8323406376425379,0.8382741150455257,0.8393205555111276,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
4,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2857013563,352,20,4,300,143,58740,0,7399,217315,10,23,31,153,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.7548364962633373,0.771097341603537,0.8073563606297905,0.8334436462648089,0.8388611554492622,0.8448406376425378,0.8402454490613864,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8346830714944852,0.8448406376425378,0.8434014569804662,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
5,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,981629852,352,20,4,300,165,66683,0,8516,221501,10,22,33,164,20,0.8323406376425379,0.8260869565217391,0.7296602989311474,0.7969385629752644,0.8100526108843811,0.8270750068249818,0.8234882765405591,0.8276463216352117,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
6,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,3501197381,352,20,4,300,196,74721,0,10047,222376,10,21,32,158,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.7653919357653511,0.8052472660361679,0.8285302551921907,0.8289119421970069,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
7,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,3124674575,352,20,4,300,149,65179,0,7642,227064,10,21,31,185,20,0.8323406376425379,0.8260869565217391,0.8286396025837848,0.8220222003388745,0.8077389505799054,0.8278982698466629,0.8492089429290458,0.8448406376425378,0.842884370102781,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8423195513509445,0.8355219144410133,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
8,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,3479768837,352,20,4,300,125,53305,0,6442,234618,10,22,34,165,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.73947918009275,0.7902731439293955,0.8165528883431757,0.8288242747363148,0.8389644158659461,0.8448406376425378,0.8448406376425378,0.8448406376425378,0.8422718772797172,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
9,jgaapGUI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2728947753,352,20,4,300,162,61344,0,8261,224268,10,22,32,166,20,0.8323406376425379,0.8260869565217391,0.7182633075534185,0.741490374187426,0.8217555237323216,0.8285302551921907,0.8459161869955174,0.8573313893442247,0.8448406376425378,0.8448406376425378,0.8448406376425378,0.843250189996787,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379,0.8323406376425379
