,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
2154,org.apache.commons.lang3.time.DurationFormatUtils,BRANCH;OUTPUT,output_300,1460636013,191,148,21,160,610,194067,0,31656,344585,32,44,54,217,148,0.713871635610766,0.8944099378881988,0.699714507391422,0.7076604554865424,0.7103811432024388,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7107660455486542,0.7113937337553901,0.713871635610766
2155,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,2772083973,143,2,42,106,1224,271930,0,60689,351393,54,89,199,683,2,0.8068181818181819,0.9772727272727272,0.6396605162594928,0.7527905749260181,0.7651010984222876,0.7700703536302034,0.7714646464646464,0.7714646464646464,0.7714646464646464,0.7714646464646464,0.7736277901400288,0.7786426591683462,0.7834107368070373,0.7866161616161615,0.7866161616161615,0.7907065368270443,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.79538574770891,0.8003446581690856,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8052163257087387,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819
2156,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,1406990046,143,2,42,106,1308,288337,0,64839,344760,52,85,189,587,2,0.8068181818181819,0.9772727272727272,0.6210285541045429,0.7441438669959064,0.7462121212121212,0.7517674987449398,0.7633612278502789,0.7815656565656566,0.7815656565656566,0.7815656565656566,0.7851284513306206,0.7866161616161615,0.7884153759042339,0.7934294077592842,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.7973482301840511,0.8017676767676768,0.8017676767676768,0.802345944653637,0.8068181818181819
2157,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,253071423,143,2,42,107,1437,316324,0,71237,356527,52,87,176,553,2,0.8118686868686869,0.9772727272727272,0.5540361108640218,0.7099540023950317,0.7266088290456522,0.7337509703073679,0.7464603841195491,0.7563131313131313,0.7635344674818358,0.7738946493448745,0.7765151515151516,0.7811508146165256,0.7925556632039757,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8027814572101382,0.8118686868686869
2158,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,4211127358,143,2,42,106,1876,419311,0,92887,356127,53,87,190,785,2,0.8169191919191919,0.9318181818181818,0.6511787573392483,0.748295092321641,0.7584479233266309,0.768388380751338,0.7750124620837225,0.7800287616777761,0.7815656565656566,0.7815656565656566,0.7815656565656566,0.7878270082528758,0.7916666666666667,0.7916666666666667,0.7946186910745547,0.7996283776611072,0.8017676767676768,0.8046445986458167,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8146282213772709
2159,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,1875966046,143,2,42,108,2191,481887,0,108754,330476,54,91,170,692,2,0.8169191919191919,0.9772727272727272,0.7073448161248244,0.7731207061169292,0.799429104220185,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8063682862905661,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8137154047678533,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919
2160,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,3737740694,143,2,42,107,1950,430974,0,96542,358309,51,89,172,611,2,0.8169191919191919,0.9545454545454546,0.6088551969131963,0.7208389876081592,0.7474062386543923,0.7543445718899177,0.7593227736357507,0.7673769227460162,0.774453761489613,0.7765151515151516,0.7794835766625651,0.7961879003175629,0.8068181818181819,0.8096475852022603,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.8118686868686869,0.813433163268394,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919
2161,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,2668697201,143,2,42,108,1301,291020,0,64445,360836,55,91,182,586,2,0.8169191919191919,0.9772727272727272,0.5280754139876405,0.6974795140055302,0.7252429040528992,0.7389061756533111,0.7438631645858784,0.753851662433752,0.7613636363636364,0.7613636363636364,0.7669323057222023,0.7765151515151516,0.7765151515151516,0.7779414608792352,0.7866161616161615,0.7866161616161615,0.7900848211231959,0.7916666666666667,0.7916666666666667,0.7933059310753435,0.7967171717171717,0.7967171717171717,0.7967171717171717,0.79953690872136,0.8080547706214138,0.8118686868686869,0.8129752638107394,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919,0.8169191919191919
2162,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,1282845058,143,2,42,105,1745,383227,0,86407,351438,51,90,172,628,2,0.8068181818181819,0.9545454545454546,0.5633183863557696,0.7332798216037054,0.758736903102075,0.7664141414141414,0.7678287644020659,0.7728567728567728,0.7765151515151516,0.7778331150234671,0.7815656565656566,0.7841007447893497,0.7929177826621346,0.7979210537367338,0.8017676767676768,0.8017676767676768,0.8017676767676768,0.8028146478559702,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819
2163,org.apache.commons.lang3.time.FastDateFormat,BRANCH;OUTPUT,output_300,4080991467,143,2,42,108,2558,562667,0,126798,338500,51,86,167,619,2,0.8169191919191919,0.9772727272727272,0.7135724271278188,0.7961765869771067,0.8017676767676768,0.8017676767676768,0.806224564630635,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8068181818181819,0.8143354471229871,0.8169191919191919,0.8169191919191919,0.8169191919191919
