,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
2045,org.apache.commons.cli.Option,BRANCH,branch_300,564791637,131,92,63,130,2721,616712,0,139924,351146,61,85,165,345,92,0.9923664122137404,0.9923664122137404,0.8042121490911803,0.9794488560319254,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404
2046,org.apache.commons.cli.Option,BRANCH,branch_300,4100334965,131,92,63,130,3199,713325,0,164223,339647,61,86,164,286,92,0.9923664122137404,0.9923664122137404,0.8796661448742089,0.9854144753770524,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404
2047,org.apache.commons.cli.Option,BRANCH,branch_300,2949956777,131,92,63,130,3694,797221,0,189787,322643,61,84,160,271,92,0.9923664122137404,0.9923664122137404,0.9518270268901124,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404
2048,org.apache.commons.cli.Option,BRANCH,branch_300,197098606,131,92,63,130,4768,1040830,0,245161,321068,63,86,167,259,92,0.9923664122137404,0.9923664122137404,0.9136240310749048,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.9923664122137404
2049,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,1108945741,498,484,50,459,937,254551,0,48863,390376,107,140,217,306,484,0.923694779116466,0.9216867469879518,0.6654473860956696,0.789905179401228,0.8216691191495635,0.8329814961000241,0.8367325161832383,0.8457195418063413,0.853507339216019,0.8554216867469879,0.8566841633603666,0.8693821071125595,0.8786508466430706,0.8906977756844546,0.9006900321426912,0.903743582732283,0.9066771495853596,0.9106708784561752,0.9136546184738956,0.9136546184738956,0.9136546184738956,0.9136546184738956,0.9145616697826128,0.916558830519506,0.9176706827309236,0.9185166629200406,0.9196787148594378,0.9196787148594378,0.9196787148594378,0.9196787148594378,0.9196787148594378,0.9223373703393808
2050,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,1153041797,498,484,50,447,898,249149,0,46765,380617,99,133,199,296,484,0.8975903614457831,0.8975903614457831,0.5930107279720584,0.7743542069512618,0.8054372781562392,0.8104536362311954,0.8198100468350907,0.8253012048192772,0.8493391151205507,0.8739439231145322,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8812286475548649,0.8851985195061152,0.888355780686597,0.8895582329317269,0.8895582329317269,0.8909899187664031,0.893574297188755,0.8941703467338828,0.8955823293172691,0.8955823293172691,0.8955823293172691,0.8955823293172691,0.8955823293172691,0.8955823293172691,0.8955823293172691,0.895872220575037,0.8975903614457831,0.8975903614457831
2051,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,366952019,498,484,50,455,1070,294467,0,55834,400994,106,139,213,291,484,0.9136546184738956,0.9136546184738956,0.6001314403494553,0.750544158907993,0.7969675639366474,0.8201200082319564,0.8245318213479833,0.8462890587199976,0.876866421600491,0.8809683177153056,0.8842328222186226,0.8861755665889823,0.8875502008032129,0.8887628652598758,0.891566265060241,0.89335869085738,0.898719781546169,0.9021220888232662,0.9036144578313252,0.9041242660468906,0.9056224899598394,0.9056224899598394,0.906064634589819,0.9076305220883534,0.9079859365950094,0.9096385542168676,0.9096385542168676,0.9096385542168676,0.9098596987413888,0.9118532424767948,0.9136546184738956,0.9136546184738956
2052,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,2490347145,498,484,50,455,1125,304277,0,58715,406446,103,139,208,300,484,0.9136546184738956,0.9136546184738956,0.6240011126235713,0.7916444415741186,0.8152282274829907,0.834475342126801,0.8536330450786453,0.8633136843315985,0.8681322730178704,0.8723808450361957,0.8770016976423042,0.8845990047846478,0.8895582329317269,0.8895582329317269,0.8925025326886202,0.8995983935742972,0.8995983935742972,0.9000644290193991,0.9016064257028112,0.9016064257028112,0.9018115346375756,0.904942968756116,0.9056224899598394,0.9056224899598394,0.9056224899598394,0.9056224899598394,0.9116724681792808,0.9136546184738956,0.9136546184738956,0.9136546184738956,0.9136546184738956,0.9136546184738956
2053,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,3501897736,498,484,50,461,1256,350846,0,65383,350380,106,141,214,307,484,0.92570281124498,0.92570281124498,0.7039268183846497,0.8052081021549793,0.8246124031007752,0.8319427442389881,0.8348078257111171,0.8368069712935995,0.8373493975903614,0.8373493975903614,0.8386769288609034,0.8419534998842289,0.8459306144431467,0.8486526172324068,0.8506218573242796,0.8537808977238863,0.8554216867469879,0.8554216867469879,0.8576637479561591,0.8627189839361431,0.8687215228627514,0.8714859437751004,0.8725270567380566,0.8734939759036144,0.8896026619318047,0.9065980393663342,0.9114268176090996,0.916594816363345,0.91948473361689,0.9225701695007148,0.923694779116466,0.9252655457640504
2054,org.apache.commons.codec.language.DoubleMetaphone,BRANCH,branch_300,92267935,498,484,50,458,1261,344462,0,65830,386626,108,135,216,283,484,0.9196787148594378,0.9196787148594378,0.6126763363592426,0.7924517600311465,0.8387969237234312,0.8515774987515943,0.8638556992583287,0.8717565541134495,0.8745763363209175,0.8765938511625352,0.8775100401606426,0.8785823822772078,0.8805392095736321,0.8815261044176707,0.8815261044176707,0.8815261044176707,0.8815261044176707,0.8824272556368753,0.8870270246578137,0.8924091137320885,0.8943691105312572,0.8992935630604517,0.9056224899598394,0.9056224899598394,0.9056224899598394,0.9062805069441416,0.9095279182806972,0.9136546184738956,0.9136546184738956,0.9142000974379032,0.9166542381020096,0.9196787148594378
