,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18
0,jgaapGUI,BRANCH,branch_180,3452658712,23,20,4,19,336,156164,0,17181,203505,9,11,27,30,20,0.8260869565217391,0.8260869565217391,0.4851530400047532,0.6627656096763649,0.7835659524277571,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
1,jgaapGUI,BRANCH,branch_180,2185369109,23,20,4,19,112,61189,0,5770,234650,9,11,30,34,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.5396717490531223,0.6086956521739131,0.633456668221916,0.7015331697392982,0.743513767129657,0.785603209033781,0.825476889214967,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
2,jgaapGUI,BRANCH,branch_180,3366088467,23,20,4,19,302,116800,0,15612,201821,9,11,27,32,20,0.8260869565217391,0.8260869565217391,0.5539726363043698,0.7061049785987835,0.7979039003987939,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
3,jgaapGUI,BRANCH,branch_180,3906352499,23,20,4,19,193,96539,0,9942,218692,9,11,27,31,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.632282349690921,0.7256757971831906,0.8096512368997523,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
4,jgaapGUI,BRANCH,branch_180,526592140,23,20,4,19,137,91972,0,6938,218691,9,11,29,32,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.4844360428481412,0.5840284937669884,0.6630609147339859,0.729485574224575,0.811946299577484,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
5,jgaapGUI,BRANCH,branch_180,2865223928,23,20,4,19,210,101804,0,10807,216026,9,11,27,30,20,0.8260869565217391,0.8260869565217391,0.5217391304347826,0.5396359394366539,0.6026742471266867,0.6812735364601163,0.7494899051728665,0.7898927789403942,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
6,jgaapGUI,BRANCH,branch_180,4259148395,23,20,4,19,232,94834,0,11923,211400,9,11,27,30,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.6885714821622838,0.7686402601019033,0.8165575888949101,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
7,jgaapGUI,BRANCH,branch_180,3361316240,23,20,4,19,124,84756,0,6361,219247,9,11,28,33,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.5662495908965032,0.6328390485016991,0.684840364090006,0.7391304347826086,0.7391304347826086,0.775398694312025,0.782608695652174,0.782608695652174,0.8142636321778597,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
8,jgaapGUI,BRANCH,branch_180,3510485324,23,20,4,19,180,84170,0,9333,221953,9,11,28,31,20,0.8260869565217391,0.8260869565217391,0.4782608695652174,0.5046520874751491,0.5640382347775911,0.6462435942888453,0.7258368482455353,0.782608695652174,0.7931308134499414,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
9,jgaapGUI,BRANCH,branch_180,172495749,23,20,4,19,109,82417,0,5518,218710,9,11,30,33,20,0.8260869565217391,0.8260869565217391,0.5217391304347826,0.5880030976877973,0.6619624310006813,0.7357895474616265,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.788133497246692,0.824504804649708,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
10,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH,branch_180,532261600,73,52,23,68,1070,615725,0,55249,219878,22,34,79,109,52,0.9315068493150684,0.9315068493150684,0.7720862624291144,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
11,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH,branch_180,3271505490,73,52,23,68,833,631064,0,42157,246496,23,34,84,112,52,0.9315068493150684,0.9315068493150684,0.7206184136068077,0.9213332380130111,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
12,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH,branch_180,2281216809,73,52,23,67,1225,685826,0,63517,213757,22,34,84,118,52,0.9315068493150684,0.9178082191780822,0.8438624421934136,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
