configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
branch_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,10,120,174,69
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,1,109,1609,7
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,2,105,1609,7
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,3,101,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,4,112,1609,7
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,5,103,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,6,99,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,7,102,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,8,85,1609,5
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,9,99,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,10,99,1609,6
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,1,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,2,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,3,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,4,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,5,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,6,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,7,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,8,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,9,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,10,5,448,1
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,1,110,427,26
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,2,113,427,26
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,3,113,427,26
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,4,109,427,26
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,5,101,427,24
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,6,101,427,24
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,7,101,427,24
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,8,105,427,25
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,9,101,427,24
branch_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,10,99,427,23
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,1,0,1310,0
