,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6
0,jgaapGUI,BRANCH;OUTPUT,output_60,228597821,23,20,4,19,55,36913,0,2814,79210,9,11,29,51,20,0.9130434782608696,0.8260869565217391,0.7391304347826086,0.7935640506502866,0.8043478260869565,0.868328031106398,0.9064274949519544,0.9130434782608696
1,jgaapGUI,BRANCH;OUTPUT,output_60,2758252347,23,20,4,19,60,45491,0,3135,77509,9,11,31,62,20,0.9130434782608696,0.8260869565217391,0.7845310565191413,0.859018573237653,0.9014042130513092,0.9130434782608696,0.9130434782608696,0.9130434782608696
2,jgaapGUI,BRANCH;OUTPUT,output_60,4100262952,23,20,4,18,38,34953,0,1924,91694,8,10,31,95,20,0.8913043478260869,0.782608695652174,0.7583696160810562,0.8539694839960881,0.8695652173913043,0.8744199399265579,0.8913043478260869,0.8913043478260869
3,jgaapGUI,BRANCH;OUTPUT,output_60,2636860080,23,20,4,19,52,34430,0,2729,81318,9,11,32,58,20,0.9130434782608696,0.8260869565217391,0.7889430210915453,0.8609719252771564,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696
4,jgaapGUI,BRANCH;OUTPUT,output_60,4009665903,23,20,4,18,65,67065,0,3224,79049,8,10,27,47,20,0.8913043478260869,0.782608695652174,0.7826795918270889,0.8594577250120328,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8913043478260869
5,jgaapGUI,BRANCH;OUTPUT,output_60,3455851791,23,20,4,19,60,54640,0,3032,79844,9,11,32,62,20,0.9130434782608696,0.8260869565217391,0.7899561002637773,0.8633198973983144,0.8971441250741263,0.9130434782608696,0.9130434782608696,0.9130434782608696
6,jgaapGUI,BRANCH;OUTPUT,output_60,3227133277,23,20,4,19,49,39915,0,2512,79604,9,11,32,68,20,0.9130434782608696,0.8260869565217391,0.7957866007658256,0.870753843933335,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.9051107546924444
7,jgaapGUI,BRANCH;OUTPUT,output_60,1715733194,23,20,4,19,59,45414,0,3014,81397,9,11,31,65,20,0.9130434782608696,0.8260869565217391,0.7677136499883701,0.850637937224973,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696
8,jgaapGUI,BRANCH;OUTPUT,output_60,3764922892,23,20,4,18,26,22368,0,1336,88287,8,10,28,87,20,0.8913043478260869,0.782608695652174,0.7391304347826086,0.7738040859088527,0.797527669701205,0.8307907207747863,0.8591518389910764,0.8869823248613082
9,jgaapGUI,BRANCH;OUTPUT,output_60,656534446,23,20,4,19,75,52639,0,3886,77620,9,11,29,36,20,0.9130434782608696,0.8260869565217391,0.8058467811011752,0.8683610677062358,0.8913043478260869,0.8913043478260869,0.8992236799306083,0.9130434782608696
10,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,3204082278,106,52,23,96,326,170461,0,16408,109453,45,51,137,375,52,0.8899958488999584,0.9315068493150684,0.8355512152251059,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
11,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,450981410,106,52,23,96,305,165017,0,15370,107150,43,46,131,367,52,0.8899958488999584,0.9315068493150684,0.8461519567438163,0.8888416641825342,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
12,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,1234972556,106,52,23,94,221,107248,0,11224,137087,41,57,127,416,52,0.8899958488999584,0.9315068493150684,0.7688850537518427,0.8748134018301447,0.887196966241559,0.8899958488999584,0.8899958488999584,0.8899958488999584
13,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,1876789099,106,52,23,96,294,117752,0,14857,121792,44,50,145,369,52,0.8899958488999584,0.9315068493150684,0.8132556968489076,0.8886740273110701,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
14,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,757214194,106,52,23,96,316,119986,0,15980,113581,44,55,140,414,52,0.8899958488999584,0.9315068493150684,0.8521276070962512,0.888742278540888,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
15,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,3555824009,106,52,23,96,361,149120,0,18191,107668,44,49,142,392,52,0.8899958488999584,0.9315068493150684,0.8433450895021531,0.887526252110586,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
16,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,2448211493,106,52,23,96,366,155122,0,18485,112712,43,56,143,451,52,0.8899958488999584,0.9315068493150684,0.8211884881702403,0.8886789059849901,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
17,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,3791947107,106,52,23,96,314,121599,0,15947,113839,44,55,133,467,52,0.8899958488999584,0.9315068493150684,0.8255925205353527,0.8789935586102584,0.8886206546161736,0.8899958488999584,0.8899958488999584,0.8899958488999584
18,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,2648687869,106,52,23,96,254,106580,0,12916,123137,44,50,143,386,52,0.8899958488999584,0.9315068493150684,0.825478576182693,0.8878685069075454,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
19,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,BRANCH;OUTPUT,output_60,2989884741,106,52,23,96,351,170092,0,17600,107019,44,54,143,460,52,0.8899958488999584,0.9315068493150684,0.8599881522066481,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584,0.8899958488999584
20,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,494533867,94,54,17,84,268,115020,0,13529,107423,37,41,117,277,54,0.863768115942029,0.927536231884058,0.8158697702068343,0.8612895701339769,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
21,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,2746225796,94,54,17,84,389,158030,0,19650,97468,33,38,89,261,54,0.863768115942029,0.927536231884058,0.8312090082101496,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
22,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,2499390954,94,54,17,84,514,231937,0,25954,107101,35,42,102,268,54,0.863768115942029,0.927536231884058,0.8325656732998145,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
23,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,336510530,94,54,17,84,411,188637,0,20661,101176,33,46,96,319,54,0.863768115942029,0.927536231884058,0.8357341553104045,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
24,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,448431677,94,54,17,84,381,209321,0,18799,98055,33,46,96,383,54,0.863768115942029,0.927536231884058,0.8358407837463521,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
25,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,2024064923,94,54,17,84,332,118890,0,16752,98626,33,40,90,254,54,0.863768115942029,0.927536231884058,0.8266552832901388,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
26,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,2573530769,94,54,17,84,357,171536,0,17936,105813,36,44,109,317,54,0.863768115942029,0.927536231884058,0.8295646033566206,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
27,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,3613954447,94,54,17,84,401,171909,0,20204,97415,34,42,95,281,54,0.863768115942029,0.927536231884058,0.8293309039658033,0.8627504389135598,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
28,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,713078870,94,54,17,84,527,216781,0,26522,112379,33,45,92,351,54,0.863768115942029,0.927536231884058,0.8023955204216073,0.8617411266009692,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
29,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,BRANCH;OUTPUT,output_60,2179501086,94,54,17,84,301,147683,0,15044,105044,35,42,107,248,54,0.863768115942029,0.927536231884058,0.8495459582193883,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029,0.863768115942029
30,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,BRANCH;OUTPUT,output_60,189136236,51,40,15,4,80,19141,0,4035,92991,3,4,6,8,40,0.5392156862745098,0.0784313725490196,0.5341640078885688,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098
31,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,BRANCH;OUTPUT,output_60,453667597,51,40,15,4,63,14395,0,3199,90888,3,4,7,9,40,0.5392156862745098,0.0784313725490196,0.5344975655519875,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098
32,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,BRANCH;OUTPUT,output_60,3006995043,51,40,15,4,49,13659,0,2514,96608,3,4,6,18,40,0.5392156862745098,0.0784313725490196,0.5342926009015975,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.5392156862745098
