class,A_size,magnitude
accessories.plugins.time.JDayChooser,0.835,large
bcry.battlecryGUI,0.9,large
com.eteks.sweethome3d.viewcontroller.HomeController,0.815,large
com.google.common.base.Splitter,0.76,large
com.google.common.cache.CacheBuilderSpec,0.88,large
com.google.javascript.jscomp.parsing.JsDocInfoParser,0.87,large
com.jstevh.viewer.ClassViewer,0.85,large
com.lts.io.DirectoryScanner,0.88,large
com.pmdesigns.jvc.tools.JVCParser,0.725,medium
com.soops.CEN4010.JMCA.JParser.JavaCharStream,0.89,large
de.devcity.parseargs.ArgsParser,0.935,large
de.progra.charting.CoordSystemUtilities,0.78,large
edu.mscd.cs.jclo.JCLO,0.805,large
glengineer.agents.GroupAgent,0.785,large
gnu.trove.list.linked.TDoubleLinkedList,0.965,large
gnu.trove.map.hash.TByteFloatHashMap,0.97,large
gnu.trove.map.hash.TByteObjectHashMap,0.81,large
gnu.trove.map.hash.TFloatObjectHashMap,0.835,large
ipac.BinaryCalculate,0.985,large
jigl.image.ops.ConnectedComponents,0.79,large
jigl.image.ops.levelOps.Clip,0.78,large
mindbright.ssh.SSHSCPGUIThread,0.78,large
net.kencochrane.a4j.file.FileUtil,0.765,large
nu.staldal.lagoon.LagoonGUI,1.0,large
org.apache.commons.cli.HelpFormatter,0.94,large
org.apache.commons.codec.language.DoubleMetaphone,0.97,large
org.apache.commons.collections4.list.TreeList,0.915,large
org.apache.commons.lang3.ArrayUtils,1.0,large
org.apache.commons.lang3.BooleanUtils,0.935,large
org.apache.commons.lang3.Conversion,1.0,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.8,large
org.apache.commons.lang3.text.StrBuilder,0.91,large
org.apache.commons.lang3.time.DateUtils,0.955,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,0.945,large
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,0.255,large
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,0.735,medium
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.825,large
org.apache.commons.math3.linear.MatrixUtils,0.83,large
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,0.76,large
org.databene.jdbacl.DBUtil,0.825,large
org.firebirdsql.encodings.EncodingFactory,0.755,large
org.heal.module.search.AdvSearchDAO,0.81,large
org.javathena.login.parse.FromClient,0.315,medium
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,0.79,large
org.jdom2.Verifier,0.985,large
org.jdom2.output.SAXOutputter,0.95,large
org.jdom2.util.NamespaceStack,0.825,large
org.jfree.data.time.TimeSeries,0.845,large
org.joda.time.base.BasePeriod,0.915,large
org.joda.time.format.DateTimeFormatterBuilder,0.945,large
org.joda.time.format.PeriodFormatterBuilder,0.8,large
org.jsecurity.util.AntPathMatcher,0.85,large
org.mozilla.javascript.Parser,0.815,large
org.scribe.model.Response,1.0,large
org.tartarus.snowball.ext.englishStemmer,0.91,large
org.tartarus.snowball.ext.italianStemmer,0.815,large
org.tartarus.snowball.ext.turkishStemmer,0.81,large
twitter4j.TwitterBaseImpl,0.85,large
umd.cs.shop.JSPredicateForm,0.8,large
umd.cs.shop.JSTerm,0.9,large
