class,A_size,magnitude
JSci.maths.SpecialMath,0.81,large
Scanner,0.83,large
accessories.plugins.time.JDayChooser,0.875,large
bcry.battlecryGUI,0.85,large
bierse.model.Drink,0.835,large
client.network.ForwardingObserver,0.755,large
com.eteks.sweethome3d.viewcontroller.HomeController,0.89,large
com.google.common.base.CharMatcher,0.86,large
com.google.common.base.Utf8,0.8,large
com.google.common.math.BigIntegerMath,0.995,large
com.google.javascript.jscomp.ReferenceCollectingCallback,0.22,large
com.jstevh.viewer.ClassViewer,0.75,large
com.lts.io.DirectoryScanner,0.93,large
com.mentorgen.tools.profile.runtime.Profile,0.09,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,0.885,large
com.soops.CEN4010.JMCA.JParser.JavaParser,0.95,large
com.yahoo.platform.yui.compressor.JavaScriptCompressor,0.315,medium
de.beiri22.stringincrementor.StringIncrementor,0.66,small
de.beiri22.stringincrementor.helper.IndexedString,0.85,large
de.devcity.parseargs.ArgsParser,0.81,large
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0.78,large
framework.util.StringUtils,0.8,large
ghm.follow.search.SearchableTextPane,0.915,large
gnu.trove.list.linked.TDoubleLinkedList,0.855,large
gnu.trove.map.hash.TByteFloatHashMap,0.92,large
gnu.trove.map.hash.TByteObjectHashMap,0.775,large
ioproject.server.network.ClientGroup,0.285,medium
ipac.BinaryCalculate,0.77,large
jigl.image.levelSetTool.LevelSetNudge,0.18,large
jigl.image.ops.ConnectedComponents,0.78,large
jipa.Main,0.785,large
mindbright.ssh.SSHSCPGUIThread,0.94,large
net.kencochrane.a4j.file.FileUtil,0.845,large
nu.staldal.lagoon.LagoonCLI,0.875,large
nu.staldal.lagoon.LagoonGUI,0.85,large
org.apache.commons.cli.HelpFormatter,1.0,large
org.apache.commons.codec.language.DoubleMetaphone,0.95,large
org.apache.commons.collections4.list.TreeList,0.83,large
org.apache.commons.lang3.BooleanUtils,0.98,large
org.apache.commons.lang3.Conversion,0.87,large
org.apache.commons.lang3.LocaleUtils,0.9,large
org.apache.commons.lang3.Validate,0.7,medium
org.apache.commons.lang3.builder.HashCodeBuilder,0.98,large
org.apache.commons.lang3.text.StrBuilder,0.92,large
org.apache.commons.lang3.time.DateUtils,0.77,large
org.apache.commons.math3.analysis.FunctionUtils,0.7,medium
org.apache.commons.math3.fraction.Fraction,0.15,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.995,large
org.apache.commons.math3.linear.MatrixUtils,0.845,large
org.apache.lucene.search.exposed.ExposedTimSort,0.79,large
org.databene.jdbacl.DBUtil,0.94,large
org.javathena.login.Login,0.875,large
org.jdom2.Verifier,0.83,large
org.jfree.chart.plot.ValueMarker,0.3,medium
org.jfree.chart.plot.XYPlot,0.915,large
org.jfree.data.time.TimeSeries,0.93,large
org.joda.time.DateTimeZone,0.18,large
org.joda.time.MutableDateTime,0.22,large
org.joda.time.base.BasePeriod,0.85,large
org.joda.time.format.DateTimeFormatterBuilder,0.95,large
org.joda.time.format.PeriodFormatterBuilder,0.91,large
org.joda.time.tz.ZoneInfoCompiler,0.885,large
org.mozilla.javascript.Parser,0.96,large
org.objectweb.asm.jip.MethodWriter,0.83,large
org.quickserver.net.client.monitoring.HostMonitoringService,0.075,large
org.scribe.model.Response,1.0,large
org.tartarus.snowball.ext.englishStemmer,0.27,medium
org.tartarus.snowball.ext.turkishStemmer,0.845,large
twitter4j.TwitterBaseImpl,0.94,large
umd.cs.shop.JSTerm,0.875,large
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,0.905,large
weka.core.FindWithCapabilities,0.79,large
wheel.asm.ClassReader,0.79,large
