class,A_size,magnitude
com.eteks.sweethome3d.SweetHome3D,0.71,medium
com.google.common.base.Splitter,0.765,large
com.google.common.base.Suppliers,0.8,large
com.google.javascript.jscomp.ReferenceCollectingCallback,0.21,large
com.google.javascript.jscomp.parsing.JsDocInfoParser,0.775,large
com.mentorgen.tools.profile.runtime.Profile,0.74,large
com.werken.saxpath.XPathLexer,0.755,large
de.outstare.fortbattleplayer.model.impl.SimpleSector,0.73,medium
de.outstare.fortbattleplayer.statistics.BattleStatistics,0.83,large
de.progra.charting.CoordSystemUtilities,0.84,large
ghm.follow.search.SearchableTextPane,0.755,large
jahuwaldt.plot.PlotAxis,0.85,large
jipa.Variable,0.19,large
net.kencochrane.a4j.file.FileUtil,0.79,large
net.sourceforge.ext4j.taglib.bo.Request,0.8,large
net.sourceforge.schemaspy.model.Table,0.68,medium
org.apache.commons.collections4.list.TreeList,0.145,large
org.apache.commons.lang3.BooleanUtils,0.87,large
org.apache.commons.lang3.LocaleUtils,0.755,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.12,large
org.apache.commons.lang3.time.DateUtils,0.83,large
org.apache.commons.lang3.time.DurationFormatUtils,0.75,large
org.apache.commons.math3.fraction.ProperFractionFormat,0.98,large
org.apache.commons.math3.linear.SchurTransformer,0.155,large
org.jfree.data.time.TimeSeries,0.815,large
org.joda.time.Partial,0.73,medium
org.joda.time.Period,0.72,medium
org.joda.time.chrono.BasicMonthOfYearDateTimeField,0.21,large
org.joda.time.format.DateTimeFormatter,0.19,large
teder.TederFrame,0.55,negligible
twitter4j.TwitterImpl,1.0,large
umd.cs.shop.JSJshop,0.07,large
umd.cs.shop.JSState,0.795,large
