class,A_size,magnitude
bierse.model.Drink,0.87,large
com.google.common.base.Suppliers,0.2,large
com.google.javascript.jscomp.ReferenceCollectingCallback,0.205,large
de.progra.charting.DefaultChart,0.3,medium
de.tudarmstadt.ukp.wikipedia.api.Title,0.7,medium
gnu.trove.map.hash.TByteFloatHashMap,0.775,large
ipac.BinaryCalculate,0.79,large
ipac.WhoIS,0.24,large
jahuwaldt.plot.PlotAxis,1.0,large
org.apache.commons.lang3.ArrayUtils,0.95,large
org.apache.commons.lang3.ClassUtils,0.9,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.02,large
org.apache.commons.math3.analysis.FunctionUtils,0.2,large
org.apache.commons.math3.fraction.ProperFractionFormat,1.0,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.28,medium
org.apache.commons.math3.linear.SchurTransformer,0.29,medium
org.jfree.data.time.TimeSeries,0.785,large
org.joda.time.chrono.BasicMonthOfYearDateTimeField,0.08,large
org.joda.time.format.DateTimeFormatter,0.08,large
org.jsecurity.util.AntPathMatcher,0.695,medium
org.objectweb.asm.jip.ClassReader,0.735,medium
org.templateit.WorkbookParser,0.815,large
twitter4j.TwitterImpl,0.985,large
umd.cs.shop.JSTerm,0.795,large
